28 - (100,136) [A -> ~] 
224 - (85,123) [U46 -> X] 
233 - (123,87) [X -> U48] 
232 - (87,123) [U48 -> X] 
235 - (123,122) [X -> W] Health Center Steps
247 - (122,80) [W -> U41] 
244 - (80,83) [U41 -> U44] 
251 - (83,82) [U44 -> U43] 
249 - (82,81) [U43 -> U42] 
248 - (81,82) [U42 -> U43] 
250 - (82,83) [U43 -> U44] 
245 - (83,80) [U44 -> U41] 
246 - (80,122) [U41 -> W] 
332 - (122,135) [W -> 9] Loop Road
333 - (135,122) [9 -> W] Loop Road
252 - (122,141) [W -> %] East Quad Lower Lot Driveway
237 - (141,145) [% -> =] 
553 - (145,118) [= -> S] Usen Steps
391 - (118,133) [S -> 7] Usen Bypass
387 - (133,132) [7 -> 6] Usen Bypass
557 - (132,61) [6 -> U20] 
560 - (61,77) [U20 -> U38] 
566 - (77,78) [U38 -> U39] 
567 - (78,77) [U39 -> U38] 
561 - (77,61) [U38 -> U20] 
558 - (61,76) [U20 -> U37] 
562 - (76,120) [U37 -> U] 
493 - (120,62) [U -> U21] 
492 - (62,120) [U21 -> U] 
373 - (120,119) [U -> T] Central Campus Walkway
499 - (119,63) [T -> U22] 
498 - (63,119) [U22 -> T] 
501 - (119,64) [T -> U23] 
500 - (64,119) [U23 -> T] 
511 - (119,66) [T -> U25] 
512 - (66,67) [U25 -> U26] 
518 - (67,68) [U26 -> U27] 
524 - (68,71) [U27 -> U30] 
525 - (71,68) [U30 -> U27] 
522 - (68,70) [U27 -> U29] 
523 - (70,68) [U29 -> U27] 
519 - (68,67) [U27 -> U26] 
516 - (67,116) [U26 -> Q] 
371 - (116,117) [Q -> R] Path Along Top Of Fellows Garden
535 - (117,72) [R -> U31] 
534 - (72,117) [U31 -> R] 
368 - (117,114) [R -> O] 
369 - (114,117) [O -> R] 
455 - (117,23) [R -> L19] 
450 - (23,24) [L19 -> L20] 
451 - (24,23) [L20 -> L19] 
454 - (23,117) [L19 -> R] 
370 - (117,116) [R -> Q] Path Along Top Of Fellows Garden
439 - (116,19) [Q -> L15] 
438 - (19,116) [L15 -> Q] 
447 - (116,22) [Q -> L18] 
446 - (22,116) [L18 -> Q] 
443 - (116,20) [Q -> L16] 
442 - (20,116) [L16 -> Q] 
363 - (116,113) [Q -> N] Central Campus Walkway Through Fellows Garden
592 - (113,25) [N -> L21] 
593 - (25,113) [L21 -> N] 
445 - (113,21) [N -> L17] 
431 - (21,17) [L17 -> L13] 
430 - (17,21) [L13 -> L17] 
409 - (21,12) [L17 -> L8] 
408 - (12,21) [L8 -> L17] 
444 - (21,113) [L17 -> N] 
357 - (113,109) [N -> J] 
351 - (109,108) [J -> I] Loop Road
37 - (108,103) [I -> D] 
67 - (103,7) [D -> L3] 
66 - (7,103) [L3 -> D] 
65 - (103,6) [D -> L2] Business School Path
64 - (6,103) [L2 -> D] Business School Path
36 - (103,108) [D -> I] 
52 - (108,139) [I -> #] 
419 - (139,13) [# -> L9] 
418 - (13,139) [L9 -> #] 
465 - (139,112) [# -> M] 
405 - (112,11) [M -> L7] 
404 - (11,112) [L7 -> M] 
423 - (112,14) [M -> L10] 
422 - (14,112) [L10 -> M] 
464 - (112,139) [M -> #] 
53 - (139,108) [# -> I] 
75 - (108,9) [I -> L5] Museum Circle
74 - (9,108) [L5 -> I] Museum Circle
79 - (108,10) [I -> L6] Museum Circle
78 - (10,108) [L6 -> I] Museum Circle
350 - (108,109) [I -> J] Loop Road
54 - (109,137) [J -> !] 
73 - (137,8) [! -> L4] 
72 - (8,137) [L4 -> !] 
91 - (137,136) [! -> ~] 
33 - (136,101) [~ -> B] Lower Theater Lot Rear Access
32 - (101,136) [B -> ~] Lower Theater Lot Rear Access
29 - (136,100) [~ -> A] 
57 - (100,5) [A -> L1] Business School Driveway
56 - (5,100) [L1 -> A] Business School Driveway
